source	target
499	201
53	286
392	327
71	366
268	97
385	301
405	327
497	293
157	286
302	234
339	97
11	36
243	223
391	236
392	97
335	51
465	127
85	286
90	114
371	114
445	310
232	329
342	209
126	79
85	135
74	127
39	79
153	455
269	39
298	108
391	455
452	449
99	108
87	455
86	488
57	97
98	42
300	127
451	127
280	366
134	455
445	301
295	455
210	135
144	366
366	127
488	455
204	185
467	127
264	442
180	213
338	127
269	449
80	153
245	159
232	223
28	366
60	359
380	366
211	286
307	223
378	114
175	210
103	366
451	51
436	465
312	99
406	209
412	99
163	115
204	406
462	127
201	334
187	449
404	127
187	366
441	186
471	310
104	327
497	99
243	36
133	97
194	201
287	97
414	488
440	225
280	354
76	286
393	366
103	286
109	210
251	201
226	310
334	108
327	97
235	449
23	127
294	390
110	114
24	210
135	449
314	455
193	185
71	234
415	119
356	449
479	166
293	210
209	455
70	442
465	201
175	51
447	36
48	97
77	235
187	5
206	201
97	427
139	449
304	234
343	394
311	301
26	449
311	282
293	108
250	97
200	127
207	442
154	185
232	449
111	42
224	99
13	286
271	99
157	137
274	301
326	108
370	286
111	99
10	409
78	114
398	366
232	328
351	185
148	449
32	99
7	113
80	449
155	301
405	153
277	97
22	114
393	234
51	201
242	210
416	36
57	108
470	209
414	99
5	234
49	97
459	99
340	36
74	490
44	310
365	114
62	201
0	97
114	127
101	449
126	449
153	108
154	42
443	310
418	476
340	488
272	442
208	327
20	99
303	114
171	288
139	108
262	201
297	216
361	99
279	51
116	489
149	409
237	488
470	210
315	99
226	449
383	442
374	301
287	348
64	99
144	449
203	310
469	433
465	301
405	487
202	99
79	301
455	293
391	153
109	409
174	114
284	127
247	99
70	99
290	51
235	296
268	488
195	100
41	190
312	46
185	127
56	293
107	293
497	488
212	153
449	382
303	51
358	366
269	127
273	442
430	449
286	449
215	409
58	127
148	153
102	108
339	442
493	301
343	293
46	223
469	310
62	99
264	208
147	455
14	114
386	327
233	293
227	127
42	36
430	312
210	449
493	449
194	42
381	36
310	201
222	327
127	55
112	168
198	79
131	366
446	127
114	201
449	127
4	455
308	449
129	153
169	301
409	455
267	223
215	36
242	51
30	449
380	293
227	310
371	99
343	455
301	310
336	366
192	36
361	442
405	366
210	1
43	99
177	373
194	127
171	108
161	310
238	401
2	449
149	301
37	232
47	301
126	406
317	127
290	54
64	166
273	99
388	333
292	209
378	127
44	99
24	301
59	127
197	293
301	185
234	293
61	310
325	127
61	198
237	36
35	301
486	293
202	210
212	127
247	97
429	99
17	51
39	36
302	286
404	312
257	99
311	419
242	409
86	293
192	455
255	114
349	286
211	51
77	201
262	234
65	108
274	442
121	210
274	99
117	127
445	208
68	366
28	51
429	301
35	21
44	449
163	327
255	99
457	135
141	97
89	276
206	99
250	51
258	293
335	208
496	208
410	488
131	127
184	265
299	488
79	226
152	127
432	442
148	293
273	449
342	51
171	153
488	51
218	6
35	36
208	209
375	293
163	79
68	79
265	209
376	310
486	127
398	484
240	488
319	188
104	51
8	449
252	409
243	293
336	379
358	449
98	127
46	422
374	99
418	327
334	103
423	301
5	409
116	301
81	127
139	223
488	210
405	397
78	51
320	455
463	455
386	201
49	449
15	51
455	286
310	99
95	388
234	99
96	106
240	99
51	42
483	488
17	488
479	210
12	127
358	201
8	201
220	105
486	223
342	455
299	327
305	201
281	18
280	153
273	301
114	301
235	135
81	442
43	293
5	99
480	36
404	234
48	375
444	455
97	488
429	253
84	99
358	51
297	201
442	51
96	127
250	310
58	420
172	36
33	455
281	286
111	36
482	36
44	51
234	201
139	132
198	51
459	367
311	99
111	286
423	293
173	442
340	209
491	51
96	201
348	99
193	449
336	51
75	366
305	99
371	208
191	409
488	108
184	201
418	286
379	203
266	166
23	79
148	301
423	114
373	327
163	449
140	127
75	36
14	449
381	455
185	99
302	310
447	346
149	366
416	185
15	114
391	301
499	114
78	495
90	286
370	201
79	455
229	442
208	488
414	51
408	79
398	114
166	488
209	153
265	210
134	208
292	36
232	348
418	39
6	488
396	455
179	232
65	283
325	208
108	97
197	92
220	455
334	442
46	455
389	201
268	293
402	449
15	127
111	366
342	210
206	455
299	301
470	293
470	53
406	97
281	232
458	208
222	455
342	127
85	455
184	254
268	99
10	127
139	366
174	301
240	449
462	114
183	208
50	97
10	293
5	51
457	201
339	352
467	256
388	461
287	99
312	153
343	488
53	208
362	413
467	449
108	127
65	150
5	379
300	99
124	366
11	201
400	449
417	455
408	36
46	488
446	51
33	209
297	51
416	51
57	226
347	455
279	99
293	424
411	409
130	327
442	210
327	449
338	399
148	42
224	438
334	114
20	201
44	293
166	455
493	366
78	208
53	51
112	185
445	366
319	108
7	455
275	127
28	127
325	310
375	153
331	201
104	127
161	36
412	449
2	208
364	327
406	114
202	455
469	301
499	455
90	293
449	301
185	114
497	366
7	488
182	188
238	209
315	449
300	267
248	442
10	235
127	217
226	210
76	440
415	201
465	114
55	454
406	448
336	294
131	36
478	455
22	286
355	114
152	455
395	366
270	209
477	301
380	36
134	40
459	153
13	449
28	210
480	348
410	449
53	488
335	387
362	293
184	286
314	99
116	201
299	127
428	209
155	99
103	201
121	449
226	293
370	449
234	153
415	409
6	409
303	379
338	97
252	51
320	210
75	201
188	108
426	153
289	239
265	153
411	230
482	143
218	188
290	327
372	156
37	99
151	449
112	210
108	208
274	266
124	286
46	449
430	266
128	309
498	455
64	36
497	210
95	348
171	79
400	278
42	449
188	312
191	114
281	209
28	293
375	36
406	301
35	88
280	327
277	366
304	301
249	82
263	488
356	125
207	455
302	455
73	114
101	310
439	293
396	293
320	127
51	398
196	470
214	223
272	266
255	208
404	153
60	114
409	449
204	301
226	201
374	36
423	127
351	286
368	455
136	114
204	488
266	114
229	409
17	455
496	488
22	449
169	293
194	306
356	327
154	466
81	120
61	360
331	310
208	153
449	99
179	449
474	114
95	327
355	301
75	51
20	63
164	36
349	455
470	488
261	42
298	31
381	449
175	327
472	127
292	449
458	449
128	99
53	455
138	488
223	327
166	127
474	36
122	209
68	449
77	442
84	318
161	455
312	127
313	488
389	188
287	185
243	488
210	246
103	46
157	51
238	203
375	449
218	99
127	455
237	449
165	108
195	42
97	366
169	449
24	455
243	301
24	449
491	234
22	27
91	51
39	455
255	379
295	51
493	127
291	189
316	79
425	449
474	327
130	108
167	449
266	201
235	488
267	210
299	42
116	79
368	449
234	312
389	327
291	68
90	51
60	210
205	327
95	488
295	488
123	51
188	449
244	442
465	327
456	99
149	209
153	210
257	180
323	127
203	127
266	51
345	127
293	72
69	114
87	201
457	310
222	293
164	455
219	162
6	79
313	327
174	327
